,Unit_Name_1,Score
0,ohio state univ,184.28935786435773
1,michigan state univ,140.47536075036072
2,univ michigan,137.21084471084478
3,univ amsterdam,136.01707875457873
4,"univ wisconsin, madison",133.86859668109668
5,univ penn,119.87228636322561
6,"univ texas, austin",110.32261904761904
7,"univ illinois, urbana-champaign",103.13809523809516
8,penn state univ,88.37976190476192
9,univ so calif,85.68174603174604
10,"indiana univ, bloomington",82.82023809523811
11,univ calif santa barbara,80.43333333333332
12,cornell univ,80.01437908496727
13,northwestern univ,73.96118326118334
14,univ calif davis,71.8481601731602
15,univ washington,70.87107892107893
16,"univ georgia, athens",69.8873376623377
17,univ arizona,64.19206349206351
18,"univ maryland, college pk",63.69924242424245
19,purdue univ,63.502380952380996
20,"univ minnesota, twin cities",62.30793650793655
21,rutgers state univ,60.684126984127
22,washington state univ,55.55476190476192
23,stanford univ,51.31388888888892
24,nanyang technol univ,48.650000000000006
25,george washington univ,48.388564213564216
26,hebrew univ jerusalem,47.893650793650814
27,"univ missouri, columbia",47.68730158730159
28,"texas a&m, college stn",47.07619047619047
29,"univ illinois, chicago",42.57935536685538
30,vrije univ amsterdam,40.725649350649356
31,harvard univ,40.1902809608692
32,suny buffalo,39.33730158730158
33,univ haifa,38.61666666666666
34,univ colorado,38.558259284575065
35,univ connecticut,36.81904761904762
36,univ florida,36.59285714285714
37,"univ n carolina, chapel hill",35.24152514152514
38,nci,35.125116550116545
39,univ kentucky,34.4523199023199
40,natl chengchi univ,33.41666666666667
41,arizona state univ,30.759523809523806
42,"louisiana state univ, baton rouge",29.577380952380945
43,univ iowa,29.440909090909084
44,univ vienna,28.466666666666658
45,univ calif los angeles,28.216341991341974
46,univ oklahoma,27.998109243697474
47,univ kansas,27.88392857142856
48,temple univ,27.753968253968246
49,rti int,27.60569234686882
50,george mason univ,27.575108225108224
51,univ delaware,27.459523809523805
52,georgia state univ,26.71071428571428
53,univ utah,26.230555555555544
54,vanderbilt univ,25.90735824632883
55,florida state univ,25.70952380952381
56,yale univ,25.602056277056274
57,univ oxford,25.542857142857137
58,natl univ singapore,25.21666666666667
59,johns hopkins univ,24.71547619047619
60,univ antwerp,24.66590909090909
61,boston univ,24.655411255411245
62,colorado state univ,24.318253968253963
63,ctr dis control & prevent,24.237698412698403
64,univ zurich,24.18416305916306
65,columbia univ,23.8280303030303
66,chinese univ hong kong,23.333333333333332
67,nyu,23.17510822510822
68,"univ wisconsin, milwaukee",22.792929292929298
69,ohio univ,22.650000000000002
70,city univ hong kong,22.352380952380948
71,univ ghent,22.09318181818181
72,san diego state univ,21.649206349206345
73,radboud univ nijmegen,21.147619047619045
74,duke univ,20.62380097972203
75,tel aviv univ,20.376262626262626
76,"univ alabama, tuscaloosa",19.9629329004329
77,"univ london, london sch econ & polit sci",19.5
78,iowa state univ,19.28571428571429
79,univ nebraska,19.107081807081805
80,"univ tennessee, knoxville",18.450000000000003
81,univ pittsburgh,18.315909090909084
82,suny albany,17.833333333333332
83,univ miami,17.397420634920632
84,syracuse univ,17.25
85,univ s carolina,17.043589743589745
86,seoul natl univ,17.0125
87,univ queensland,16.976190476190478
88,univ s florida,16.865873015873014
89,westat corp,16.73941336441336
90,johannes gutenberg univ mainz,16.480158730158735
91,georgetown univ,16.432142857142857
92,univ melbourne,16.041666666666664
93,univ sydney,15.960822510822512
94,univ groningen,15.700000000000001
95,monash univ,15.575
96,katholieke univ leuven,15.53333333333333
97,univ n texas,15.450000000000001
98,emory univ,15.403571428571425
99,cleveland state univ,15.333333333333332
