Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
89,EXPERT SYSTEMS,677,1.505,0.00078
90,International Journal of Applied Mathematics and Computer Science,"1,205",1.504,0.00104
91,AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,877,1.419,0.00172
92,PATTERN ANALYSIS AND APPLICATIONS,"1,065",1.41,0.00129
93,MINDS AND MACHINES,449,1.4,0.00049
94,JOURNAL OF HEURISTICS,"1,187",1.392,0.00102
95,Cognitive Systems Research,690,1.384,0.00064
96,ADAPTIVE BEHAVIOR,654,1.362,0.00058
97,Genetic Programming and Evolvable Machines,340,1.333,0.00047
98,Natural Computing,778,1.33,0.00113
99,AI MAGAZINE,"1,419",1.316,0.00119
100,INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,"1,882",1.286,0.00102
101,Journal of Ambient Intelligence and Smart Environments,306,1.186,0.00039
102,JOURNAL OF AUTOMATED REASONING,584,1.172,0.00097
103,Natural Language Engineering,443,1.13,0.00045
104,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,"1,429",1.11,0.00158
105,CONSTRAINTS,267,1.106,0.00049
106,IEEE Transactions on Computational Intelligence and AI in Games,565,1.056,0.00048
107,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,809,1.011,0.0013
108,NETWORK-COMPUTATION IN NEURAL SYSTEMS,755,1,0.00011
109,APPLIED ARTIFICIAL INTELLIGENCE,698,0.988,0.00044
110,Neural Network World,326,0.957,0.00024
111,AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,630,0.894,0.00043
112,International Journal on Artificial Intelligence Tools,475,0.849,0.00052
113,International Journal on Document Analysis and Recognition,606,0.846,0.00052
114,KNOWLEDGE ENGINEERING REVIEW,891,0.814,0.00067
115,INTELLIGENT AUTOMATION AND SOFT COMPUTING,471,0.79,0.00036
116,ACM Transactions on Asian and Low-Resource Language Information Processing,65,0.788,0.00012
117,COMPUTATIONAL INTELLIGENCE,709,0.776,0.00084
118,AI COMMUNICATIONS,416,0.765,0.00038
119,Applied Ontology,148,0.75,0.00012
120,Statistical Analysis and Data Mining,393,0.741,0.00101
121,Information Technology and Control,278,0.707,0.00026
122,CONNECTION SCIENCE,397,0.673,0.0003
123,Advances in Electrical and Computer Engineering,393,0.65,0.00039
124,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,425,0.644,0.00046
125,Malaysian Journal of Computer Science,114,0.625,0.00009
125,Turkish Journal of Electrical Engineering and Computer Sciences,"1,163",0.625,0.00138
127,JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,462,0.613,0.00032
128,Intelligent Data Analysis,964,0.612,0.00086
129,JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,450,0.513,0.00048
130,Journal of Logic Language and Information,245,0.5,0.00039
131,COMPUTING AND INFORMATICS,362,0.421,0.00034
132,International Arab Journal of Information Technology,674,0.41,0.00043
133,IEEE Transactions on Games,22,Not Available,0
