,Unit_Name_1,Score
0,univ amsterdam,200.55755494505487
1,ohio state univ,195.66904761904757
2,"univ texas, austin",182.9385281385283
3,michigan state univ,169.99202741702746
4,"univ wisconsin, madison",159.68882783882782
5,univ michigan,136.88832972582978
6,"univ illinois, urbana-champaign",124.45476190476178
7,"indiana univ, bloomington",123.68571428571431
8,univ penn,121.00119047619042
9,univ calif santa barbara,111.08333333333331
10,penn state univ,110.91071428571425
11,cornell univ,96.57619047619049
12,univ washington,89.32619047619049
13,northwestern univ,88.80753968253977
14,univ so calif,80.22857142857146
15,rutgers state univ,79.50425685425688
16,"univ georgia, athens",74.2420995670996
17,univ arizona,74.08015873015874
18,"univ missouri, columbia",71.52142857142856
19,vrije univ amsterdam,70.20714285714287
20,nanyang technol univ,68.99285714285712
21,"univ maryland, college pk",67.1166666666667
22,univ oxford,62.66904761904763
23,"univ minnesota, twin cities",61.95119047619049
24,univ calif davis,61.58452380952383
25,univ haifa,60.107575757575766
26,univ zurich,59.00479797979798
27,hebrew univ jerusalem,58.743650793650836
28,purdue univ,57.39761904761908
29,"univ alabama, tuscaloosa",56.96666666666669
30,univ ghent,56.46341991341993
31,univ vienna,56.29166666666666
32,stanford univ,56.21297313797316
33,arizona state univ,54.29087301587305
34,univ antwerp,51.63852813852814
35,univ helsinki,50.63809523809525
36,univ colorado,50.5952380952381
37,"univ illinois, chicago",50.20213675213675
38,temple univ,50.06666666666667
39,univ florida,49.809523809523824
40,univ connecticut,49.759523809523806
41,univ iowa,48.802020202020216
42,washington state univ,47.70952380952382
43,univ oklahoma,44.27341269841273
44,natl chengchi univ,42.70833333333334
45,"texas a&m, college stn",41.89285714285714
46,chinese univ hong kong,41.166666666666664
47,george washington univ,40.06250000000001
48,univ calif los angeles,38.742857142857154
49,cardiff univ,38.45000000000001
50,seoul natl univ,37.94226190476192
51,"univ n carolina, chapel hill",37.80238095238095
52,univ kentucky,37.662637362637355
53,univ delaware,37.54285714285713
54,"louisiana state univ, baton rouge",37.24404761904762
55,monash univ,37.15
56,queensland univ technol,37.0595238095238
57,ohio univ,36.87499999999999
58,radboud univ nijmegen,36.64523809523811
59,florida state univ,36.52619047619047
60,erasmus univ,35.91666666666667
61,city univ hong kong,35.0690476190476
62,univ sheffield,34.5
63,suny buffalo,34.35238095238095
64,univ oslo,34.04285714285714
65,sungkyunkwan univ,33.24999999999999
66,univ kansas,33.08333333333332
67,natl univ singapore,32.84285714285715
68,univ leeds,32.255555555555546
69,univ s carolina,32.2
70,columbia univ,31.64047619047619
71,univ melbourne,31.49761904761904
72,tel aviv univ,31.361111111111107
73,katholieke univ leuven,31.35974025974026
74,univ utah,31.233333333333324
75,harvard univ,31.102813852813835
76,"univ tennessee, knoxville",30.81666666666666
77,univ copenhagen,30.6
78,nyu,30.523484848484834
79,"univ london, london sch econ & polit sci",30.5
80,univ toronto,29.704545454545446
81,georgia state univ,29.685714285714273
82,"univ wisconsin, milwaukee",29.211111111111105
83,syracuse univ,29.2095238095238
84,"univ london, city",29.083333333333332
85,iowa state univ,29.069047619047613
86,univ sydney,28.675678488178487
87,univ leicester,28.392857142857142
88,george mason univ,27.551587301587293
89,univ loughborough,27.04444444444444
90,aarhus univ,26.583333333333332
91,univ seville,26.48333333333333
92,univ s australia,26.316666666666666
93,yonsei univ,26.166666666666654
94,ben gurion univ negev,25.933333333333334
95,texas tech univ,25.542857142857134
96,univ nebraska,25.507081807081796
97,johannes gutenberg univ mainz,25.402380952380952
98,univ manchester,25.316666666666663
99,hong kong baptist univ,25.183333333333326
