,Unit_Name_1,Score
0,univ amsterdam,163.6408882783882
1,ohio state univ,146.09404761904767
2,"univ texas, austin",141.40519480519472
3,michigan state univ,121.89202741702734
4,"univ wisconsin, madison",105.2221611721612
5,univ michigan,97.81332972582977
6,univ penn,88.60119047619047
7,"indiana univ, bloomington",82.56904761904761
8,cornell univ,77.29285714285717
9,penn state univ,74.9059523809524
10,"univ illinois, urbana-champaign",74.45476190476195
11,univ calif santa barbara,72.21666666666667
12,northwestern univ,65.1575396825397
13,vrije univ amsterdam,62.957142857142856
14,univ washington,61.542857142857166
15,nanyang technol univ,60.44285714285718
16,univ oxford,59.21904761904763
17,univ so calif,58.32857142857146
18,"univ georgia, athens",55.11709956709958
19,rutgers state univ,54.97092352092355
20,univ vienna,54.558333333333316
21,univ zurich,54.50479797979798
22,univ ghent,52.1300865800866
23,"univ missouri, columbia",51.32142857142858
24,univ arizona,49.88015873015875
25,hebrew univ jerusalem,48.91031746031749
26,"univ maryland, college pk",48.383333333333326
27,univ antwerp,47.305194805194795
28,univ helsinki,44.138095238095254
29,stanford univ,43.52963980463981
30,univ haifa,42.457575757575746
31,univ iowa,42.1520202020202
32,"univ minnesota, twin cities",41.61785714285713
33,"univ alabama, tuscaloosa",39.63333333333334
34,univ calif davis,39.54285714285713
35,washington state univ,37.376190476190466
36,arizona state univ,37.2575396825397
37,"univ illinois, chicago",37.08547008547008
38,temple univ,34.48333333333333
39,george washington univ,34.31249999999999
40,seoul natl univ,33.942261904761914
41,univ oslo,33.54285714285714
42,queensland univ technol,33.3095238095238
43,natl chengchi univ,32.95833333333333
44,cardiff univ,32.44999999999999
45,chinese univ hong kong,32.33333333333333
46,univ colorado,31.952380952380953
47,erasmus univ,31.916666666666654
48,sungkyunkwan univ,31.833333333333325
49,univ calif los angeles,31.826190476190458
50,radboud univ nijmegen,31.645238095238085
51,univ sheffield,30.5
52,univ connecticut,30.476190476190474
53,"texas a&m, college stn",30.44285714285714
54,monash univ,30.14999999999999
55,univ kentucky,30.06144688644688
56,natl univ singapore,29.84285714285714
57,univ florida,29.72619047619047
58,purdue univ,28.73095238095237
59,tel aviv univ,27.94444444444444
60,univ oklahoma,27.778174603174595
61,univ melbourne,27.664285714285707
62,univ copenhagen,27.599999999999998
63,suny buffalo,27.352380952380948
64,univ leicester,26.892857142857142
65,"louisiana state univ, baton rouge",26.78571428571428
66,aarhus univ,26.583333333333332
67,ohio univ,26.425000000000004
68,"univ n carolina, chapel hill",26.30238095238095
69,univ sydney,26.009011821511823
70,katholieke univ leuven,25.859740259740256
71,city univ hong kong,25.669047619047618
72,johannes gutenberg univ mainz,25.402380952380952
73,univ kansas,25.216666666666658
74,univ southern denmark,24.952380952380945
75,columbia univ,24.773809523809522
76,univ gothenburg,24.642857142857142
77,nyu,24.35681818181817
78,george mason univ,24.351587301587294
79,univ groningen,24.1
80,univ loughborough,24.04444444444444
81,ludwig maximilians univ munchen,23.90833333333333
82,harvard univ,23.869480519480522
83,univ utah,23.650000000000002
84,univ leeds,23.505555555555556
85,ben gurion univ negev,23.266666666666666
86,univ mannheim,23.244877344877334
87,univ manchester,22.683333333333337
88,syracuse univ,22.676190476190474
89,univ s australia,22.31666666666667
90,florida state univ,22.192857142857143
91,"univ london, city",22.08333333333333
92,yonsei univ,22.0
93,univ delaware,21.926190476190474
94,univ nebraska,21.923748473748475
95,univ nottingham,21.166666666666664
96,georgia state univ,21.152380952380952
97,natl sun yat sen univ,20.85
98,iowa state univ,20.619047619047617
99,hong kong baptist univ,20.516666666666662
