,Unit_Name_1,Score
0,univ amsterdam,347.493269230769
1,"univ texas, austin",340.97781385281326
2,ohio state univ,302.40440115440094
3,michigan state univ,294.7507326007325
4,"univ wisconsin, madison",272.0584706959707
5,penn state univ,238.83192640692644
6,univ penn,222.2899631309024
7,"univ illinois, urbana-champaign",211.66971916971912
8,univ michigan,206.9334637584638
9,"indiana univ, bloomington",195.09761904761905
10,"univ georgia, athens",180.73658008657998
11,"univ missouri, columbia",171.87142857142865
12,univ calif santa barbara,167.69670329670336
13,purdue univ,167.48926073926063
14,univ so calif,161.82803585303589
15,"univ maryland, college pk",150.83406593406593
16,univ florida,145.6241341991343
17,cornell univ,144.0683473389355
18,univ arizona,143.24801587301582
19,univ washington,140.95203130203123
20,northwestern univ,140.28062770562778
21,"univ alabama, tuscaloosa",132.7970238095237
22,nanyang technol univ,130.7380952380953
23,rutgers state univ,128.78997113997113
24,arizona state univ,128.58380230880223
25,"univ minnesota, twin cities",122.29246031746037
26,univ oklahoma,118.12668067226885
27,chinese univ hong kong,116.32499999999999
28,univ kentucky,107.78983793983798
29,univ colorado,107.76044182425765
30,univ iowa,105.51987734487733
31,univ calif davis,100.55927128427132
32,univ haifa,100.40757575757577
33,univ zurich,100.1567210567211
34,"univ n carolina, chapel hill",100.12757520257531
35,univ ghent,98.29675324675321
36,washington state univ,95.74880952380954
37,ohio univ,95.54166666666667
38,vrije univ amsterdam,94.80025252525253
39,texas tech univ,94.08015873015871
40,city univ hong kong,94.00952380952383
41,univ vienna,93.99285714285718
42,univ utah,93.48229548229553
43,"univ tennessee, knoxville",93.13571428571427
44,"texas a&m, college stn",90.07023809523815
45,hebrew univ jerusalem,89.91031746031746
46,temple univ,88.82658730158727
47,natl univ singapore,82.44285714285716
48,univ antwerp,81.38852813852817
49,univ kansas,79.34583333333336
50,univ oxford,78.50238095238095
51,univ helsinki,77.02420634920634
52,stanford univ,76.45100732600737
53,cardiff univ,76.28333333333335
54,queensland univ technol,76.16829004329006
55,univ calif los angeles,75.87427849927855
56,george washington univ,74.85939754689755
57,univ leeds,74.6857142857143
58,univ connecticut,74.34296536796539
59,univ s carolina,74.06025641025641
60,"univ illinois, chicago",73.66066849816856
61,univ oslo,72.12619047619049
62,univ queensland,71.72240259740262
63,natl chengchi univ,71.24166666666667
64,"univ wisconsin, milwaukee",69.1818181818182
65,george mason univ,67.9401875901876
66,san diego state univ,67.85317460317464
67,univ copenhagen,67.16666666666666
68,hong kong baptist univ,66.5761904761905
69,suny buffalo,66.34761904761908
70,univ melbourne,65.37261904761911
71,"louisiana state univ, baton rouge",63.41071428571431
72,univ sydney,62.571475746475755
73,monash univ,62.45952380952383
74,erasmus univ,62.40833333333336
75,univ waikato,61.95952380952383
76,nyu,61.008441558441575
77,univ loughborough,59.877777777777794
78,"univ massachusetts, amherst",58.1842203548086
79,syracuse univ,57.515476190476214
80,radboud univ nijmegen,57.51190476190478
81,florida state univ,56.478571428571435
82,katholieke univ leuven,56.318073593073585
83,univ leicester,56.14285714285714
84,colorado state univ,55.11011904761909
85,univ delaware,54.74285714285718
86,tel aviv univ,54.57626262626264
87,univ toronto,53.38192640692642
88,iowa state univ,52.06904761904764
89,aarhus univ,51.49166666666667
90,harvard univ,51.063801884390145
91,columbia univ,50.72088744588744
92,univ sheffield,50.71309523809524
93,n carolina state univ,50.661904761904765
94,boston univ,50.08041125541129
95,univ s florida,49.95241147741149
96,depaul univ,49.9357142857143
97,georgia state univ,49.72738095238098
98,brigham young univ,48.67500000000001
99,univ twente,48.11666666666669
