,Unit_Name_1,Score
0,ohio state univ,223.2599567099567
1,univ amsterdam,220.55755494505485
2,"univ wisconsin, madison",214.722161172161
3,michigan state univ,208.90869408369406
4,"univ texas, austin",206.6385281385283
5,univ michigan,168.01928210678219
6,"univ illinois, urbana-champaign",158.18809523809512
7,"indiana univ, bloomington",149.96904761904761
8,univ calif santa barbara,145.90000000000006
9,univ penn,139.50876623376618
10,penn state univ,137.61071428571424
11,univ washington,111.74285714285708
12,cornell univ,110.90952380952383
13,northwestern univ,97.89087301587305
14,univ so calif,95.72857142857141
15,rutgers state univ,95.62092352092353
16,univ arizona,93.7468253968254
17,"univ missouri, columbia",93.68809523809522
18,"univ georgia, athens",89.70876623376624
19,"univ maryland, college pk",81.2670995670996
20,"univ minnesota, twin cities",77.78452380952382
21,purdue univ,76.14761904761905
22,nanyang technol univ,75.07619047619045
23,univ calif davis,72.08452380952386
24,vrije univ amsterdam,70.20714285714287
25,univ haifa,69.60757575757579
26,stanford univ,69.57963980463988
27,"univ alabama, tuscaloosa",68.05757575757582
28,hebrew univ jerusalem,66.74365079365084
29,univ colorado,66.42857142857146
30,washington state univ,65.29285714285714
31,univ oxford,64.16904761904763
32,univ florida,63.809523809523824
33,arizona state univ,62.79087301587306
34,univ zurich,61.00479797979798
35,"univ illinois, chicago",59.95971250971254
36,univ connecticut,59.926190476190484
37,temple univ,59.31666666666669
38,univ vienna,58.291666666666664
39,univ iowa,57.30202020202022
40,univ ghent,56.46341991341993
41,"texas a&m, college stn",54.9761904761905
42,univ helsinki,54.63809523809525
43,univ oklahoma,54.27341269841275
44,george washington univ,54.14583333333335
45,univ antwerp,52.13852813852814
46,univ delaware,51.70952380952386
47,univ calif los angeles,50.242857142857176
48,"louisiana state univ, baton rouge",47.110714285714295
49,natl chengchi univ,46.54166666666668
50,chinese univ hong kong,45.66666666666667
51,florida state univ,44.859523809523814
52,"univ n carolina, chapel hill",42.80238095238095
53,univ kentucky,42.66263736263738
54,ohio univ,42.208333333333314
55,univ kansas,41.75
56,suny buffalo,40.35238095238096
57,monash univ,39.48333333333334
58,cardiff univ,39.45000000000002
59,seoul natl univ,39.275595238095256
60,georgia state univ,39.1857142857143
61,"univ tennessee, knoxville",38.983333333333334
62,univ utah,38.73333333333335
63,harvard univ,38.60281385281384
64,queensland univ technol,38.05952380952381
65,columbia univ,37.97380952380953
66,city univ hong kong,37.90238095238095
67,univ sheffield,36.75
68,radboud univ nijmegen,36.64523809523811
69,tel aviv univ,36.611111111111114
70,nyu,36.356818181818184
71,"univ london, london sch econ & polit sci",36.0
72,erasmus univ,35.91666666666667
73,univ oslo,35.54285714285714
74,univ s carolina,35.199999999999996
75,syracuse univ,34.959523809523816
76,univ toronto,34.87121212121214
77,natl univ singapore,34.84285714285714
78,"univ wisconsin, milwaukee",34.37777777777777
79,univ leeds,34.08888888888889
80,iowa state univ,34.06904761904761
81,univ melbourne,33.49761904761903
82,katholieke univ leuven,33.35974025974026
83,sungkyunkwan univ,33.24999999999999
84,cleveland state univ,30.949999999999992
85,univ nebraska,30.67374847374847
86,univ copenhagen,30.6
87,univ queensland,30.349999999999998
88,univ calif berkeley,30.26515151515151
89,george mason univ,29.634920634920626
90,colorado state univ,29.417063492063487
91,univ sydney,29.175678488178487
92,san diego state univ,29.092857142857135
93,"univ london, city",29.083333333333332
94,univ loughborough,29.04444444444444
95,"univ massachusetts, amherst",28.76666666666666
96,hong kong baptist univ,28.683333333333326
97,georgetown univ,28.403968253968248
98,univ leicester,28.392857142857142
99,aarhus univ,27.583333333333332
