,Unit_Name_1,Score
0,ohio state univ,133.87225829725836
1,univ amsterdam,103.51707875457876
2,michigan state univ,86.3991702741703
3,univ michigan,76.91403735153747
4,univ penn,71.99804393898323
5,"univ texas, austin",71.75595238095242
6,"univ wisconsin, madison",59.57709235209241
7,cornell univ,57.73104575163403
8,univ so calif,51.53174603174606
9,northwestern univ,51.40165945165946
10,"univ illinois, urbana-champaign",50.52142857142859
11,penn state univ,48.079761904761924
12,"univ georgia, athens",44.61233766233768
13,univ calif santa barbara,44.16666666666667
14,univ calif davis,43.88982683982683
15,"indiana univ, bloomington",43.1702380952381
16,"univ maryland, college pk",41.008333333333326
17,univ arizona,39.12539682539681
18,nanyang technol univ,37.01666666666666
19,vrije univ amsterdam,36.225649350649356
20,washington state univ,34.05476190476188
21,univ washington,32.537745587745576
22,george washington univ,32.10523088023088
23,hebrew univ jerusalem,32.06031746031745
24,stanford univ,31.863888888888884
25,"univ minnesota, twin cities",31.557936507936496
26,"texas a&m, college stn",31.292857142857148
27,rutgers state univ,31.09126984126984
28,purdue univ,29.252380952380943
29,univ vienna,28.133333333333326
30,rti int,24.705692346868815
31,univ kentucky,24.70529609279609
32,suny buffalo,24.67063492063492
33,nci,24.15996503496503
34,vanderbilt univ,23.657358246328826
35,univ haifa,23.466666666666665
36,"univ n carolina, chapel hill",23.449858474858452
37,univ oxford,23.042857142857137
38,george mason univ,22.12510822510822
39,univ zurich,21.93416305916306
40,natl chengchi univ,21.666666666666668
41,"univ missouri, columbia",21.437301587301587
42,"univ illinois, chicago",21.2497557997558
43,natl univ singapore,21.216666666666665
44,univ antwerp,21.165909090909093
45,univ connecticut,20.735714285714288
46,harvard univ,20.089487310075548
47,univ utah,19.89722222222222
48,boston univ,19.447077922077913
49,arizona state univ,19.30952380952381
50,univ ghent,19.093181818181815
51,univ florida,18.22619047619047
52,georgia state univ,18.094047619047615
53,yale univ,17.677813852813852
54,radboud univ nijmegen,17.64761904761905
55,univ kansas,17.53809523809524
56,univ iowa,17.274242424242424
57,johannes gutenberg univ mainz,16.480158730158735
58,univ colorado,16.260640236956025
59,nyu,16.115584415584415
60,chinese univ hong kong,16.0
61,"louisiana state univ, baton rouge",15.919047619047616
62,univ groningen,15.700000000000001
63,univ nebraska,15.523748473748475
64,"univ wisconsin, milwaukee",15.376262626262625
65,univ miami,15.084920634920636
66,univ calif los angeles,14.999675324675326
67,city univ hong kong,14.952380952380956
68,univ oklahoma,14.68144257703081
69,seoul natl univ,14.012499999999998
70,katholieke univ leuven,13.533333333333333
71,columbia univ,13.128030303030302
72,ohio univ,13.033333333333333
73,univ mannheim,12.805988455988455
74,univ sydney,12.794155844155846
75,tel aviv univ,12.792929292929294
76,temple univ,12.753968253968255
77,syracuse univ,12.750000000000002
78,duke univ,12.656539074960127
79,univ melbourne,12.541666666666666
80,texas tech univ,12.39563492063492
81,colorado state univ,12.27063492063492
82,aarhus univ,12.083333333333334
83,florida state univ,12.042857142857141
84,westat corp,12.006080031080032
85,northeastern univ,11.976190476190476
86,san diego state univ,11.923015873015872
87,kent state univ,11.485714285714284
88,erasmus univ,11.45
89,georgetown univ,11.307142857142857
90,univ delaware,10.842857142857143
91,suny albany,10.833333333333332
92,iowa state univ,10.785714285714283
93,univ pittsburgh,10.64924242424242
94,univ hawaii manoa,10.633333333333335
95,washington univ,10.511507936507934
96,queensland univ technol,10.40952380952381
97,ludwig maximilians univ munchen,10.333333333333334
98,univ copenhagen,10.333333333333334
99,hong kong baptist univ,10.159523809523812
